[DEBUG] [2016-03-14 15:52:12, 269] core.FileScanner  - <<< PullLog : C:\VirtualData\test\PullLog\PullLog_2015-09-20.txt scan end
[DEBUG] [2016-03-14 15:52:12, 270] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-09-20.txt scan start
[DEBUG] [2016-03-14 15:52:12, 271] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-09-20.txt scan end
[DEBUG] [2016-03-14 15:52:12, 272] core.FileScanner  - >>> PullLog : C:\VirtualData\test\PullLog\PullLog_2015-09-21.txt scan start
[DEBUG] [2016-03-14 15:52:12, 273] core.FileScanner  - <<< PullLog : C:\VirtualData\test\PullLog\PullLog_2015-09-21.txt scan end
[DEBUG] [2016-03-14 15:52:12, 274] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-09-21.txt scan start
[DEBUG] [2016-03-14 15:52:12, 274] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-09-21.txt scan end
[DEBUG] [2016-03-14 15:52:12, 275] core.FileScanner  - >>> PullLog : C:\VirtualData\test\PullLog\PullLog_2015-10-21.txt scan start
[DEBUG] [2016-03-14 15:52:12, 276] core.FileScanner  - <<< PullLog : C:\VirtualData\test\PullLog\PullLog_2015-10-21.txt scan end
[DEBUG] [2016-03-14 15:52:12, 277] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-10-21.txt scan start
[DEBUG] [2016-03-14 15:52:12, 277] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-10-21.txt scan end
[INFO ] [2016-03-14 16:04:37, 128] core.FileScanner  - C:\VirtualData\test is directory
[INFO ] [2016-03-14 16:04:37, 133] main.MainActivity - logger : C:\VirtualData\test
[INFO ] [2016-03-14 16:04:38, 016] main.MainActivity - scan button click
[INFO ] [2016-03-14 16:04:38, 017] core.FileScanner  - C:\VirtualData\test is directory
[INFO ] [2016-03-14 16:04:38, 017] main.MainActivity - logger : C:\VirtualData\test
[INFO ] [2016-03-14 16:04:38, 019] core.FileScanner  - directory scan >> C:\VirtualData\test\2014-10-20
[INFO ] [2016-03-14 16:04:38, 020] core.FileScanner  - directory scan >> C:\VirtualData\test\HttpLog
